train,test
0.32322874665260315,0.4699210226535797
0.3319132129351298,0.7136789262294769
0.34036607543627423,0.5904576182365417
0.22319162636995316,0.7450160384178162
0.20290099829435349,0.5193951725959778
0.40305753946304324,0.7497147023677826
0.3647677153348923,0.8842186331748962
0.32984166592359543,0.5407803952693939
0.41892513632774353,0.5965081652005514
0.38653023540973663,0.7412186563014984
0.43802810087800026,0.6042560189962387
0.4080450441688299,0.42729654908180237
0.4139963537454605,0.5397778823971748
0.4531453847885132,0.4462505380312602
0.46203041076660156,0.4364969730377197
0.48413871063126457,0.3892286717891693
0.48103072577052647,0.660130076110363
0.45717816551526386,0.45416831225156784
0.5095969968371921,0.5910954624414444
0.4683678050835927,0.39206375926733017
0.32436396181583405,0.15701209753751755
0.5036034340208227,0.3974907318751017
0.6142993208609129,0.6713059283792973
0.40430548588434856,0.31003619517598835
